"name","weekday","income"
Albert Ringer,wednesday,403718425
Heather McBadden,wednesday,249479672
Innes del Castillo,wednesday,245730068
Abraham Bennet,wednesday,214842815
Dean Straight,wednesday,168092852
Livia Karsen,wednesday,156662691
Sheryl Hunter,wednesday,140290965
Michael O'Leary,wednesday,134525041
Burt Gringlesby,wednesday,119047498
Charlene Locksley,wednesday,106731411
Marjorie Green,wednesday,94949352
Johnson White,wednesday,89036569
Sylvia Panteley,wednesday,85876351
Reginald Blotchet-Halls,wednesday,80548671
Cheryl Carson,wednesday,66729907
Morningstar Greene,wednesday,64838804
Meander Smith,wednesday,49655899
Anne Ringer,wednesday,46106241
Ann Dull,wednesday,35589006
Stearns MacFeather,wednesday,24953855
Dirk Stringer,thursday ,693463721
Michel DeFrance,thursday ,481154817
Albert Ringer,thursday ,405676715
Heather McBadden,thursday ,289587876
Innes del Castillo,thursday ,247744631
Abraham Bennet,thursday ,226133921
Dean Straight,thursday ,182913508
Livia Karsen,thursday ,168820566
Sheryl Hunter,thursday ,148434253
Michael O'Leary,thursday ,130193803
Burt Gringlesby,thursday ,103250742
Charlene Locksley,thursday ,102081558
Johnson White,thursday ,91715665
Sylvia Panteley,thursday ,91590683
Marjorie Green,thursday ,90204716
Reginald Blotchet-Halls,thursday ,89971578
Cheryl Carson,thursday ,70730736
Morningstar Greene,thursday ,61407062
Meander Smith,thursday ,56688841
Anne Ringer,thursday ,55678731
Ann Dull,thursday ,36627442
Stearns MacFeather,thursday ,22585497
Dirk Stringer,friday   ,672023524
Michel DeFrance,friday   ,473980679
Albert Ringer,friday   ,357492149
Heather McBadden,friday   ,245868794
Abraham Bennet,friday   ,233935361
Innes del Castillo,friday   ,231816498
Dean Straight,friday   ,176048825
Livia Karsen,friday   ,172939429
Sheryl Hunter,friday   ,158669557
Michael O'Leary,friday   ,142326764
Burt Gringlesby,friday   ,109360163
Marjorie Green,friday   ,99954937
Charlene Locksley,friday   ,97761375
Reginald Blotchet-Halls,friday   ,96796982
Johnson White,friday   ,91757930
Sylvia Panteley,friday   ,91390801
Cheryl Carson,friday   ,80473505
Morningstar Greene,friday   ,62929145
Meander Smith,friday   ,53551958
Anne Ringer,friday   ,51753352
Ann Dull,friday   ,37433122
Stearns MacFeather,friday   ,28022436
Dirk Stringer,saturday ,724561952
Michel DeFrance,saturday ,480574641
Albert Ringer,saturday ,359055422
Heather McBadden,saturday ,260891531
Innes del Castillo,saturday ,245765313
Abraham Bennet,saturday ,219357051
Dean Straight,saturday ,176094744
Sheryl Hunter,saturday ,143802265
Livia Karsen,saturday ,142421335
Michael O'Leary,saturday ,131118669
Burt Gringlesby,saturday ,108212069
Charlene Locksley,saturday ,100507642
Marjorie Green,saturday ,95303143
Reginald Blotchet-Halls,saturday ,92451664
Johnson White,saturday ,91955960
Sylvia Panteley,saturday ,87097890
Cheryl Carson,saturday ,69224918
Morningstar Greene,saturday ,64598715
Meander Smith,saturday ,53094398
Anne Ringer,saturday ,48579238
Ann Dull,saturday ,37658782
Stearns MacFeather,saturday ,27623848
